PERGUNTAS,RESPOSTAS
"Meu curso foi cancelado, o que devo fazer?","Você deve entrar em contato com a coordenação do curso, através do e-mail disponível na página do curso, ou com a Escola de Pós UFG, para entender os motivos do cancelamento e buscar orientações sobre possíveis soluções.
"
Nádia do Lago Costa,"Graduada em Odontologia (2007/UFG). Mestre em Odontologia (2010/UFG). Doutora em Ciências da Saúde (2012/UFG). Professora Associada da Disciplina de Diagnóstico Bucal e Odontologia Hospitalar da Faculdade de Odontologia da UFG. Especialista em Implantodontia (UFG). Habilitada em Odontologia Hospitalar e Laserterapia, atua como Coordenadora do Programa de Pós-Graduação em Odontologia da UFG. Coordenadora do Núcleo de Pesquisa em Prótese e Implante de UFG. Tem experiência nas áreas de patologia bucal, radiologia, estomatologia e odontologia para pacientes oncológicos, atuando principalmente nos seguintes temas: Câncer de boca; Patologia, imunidade tumoral; Carcinoma espinocelular. Curso: Odontologia Para Pacientes com Necessidades Especiais e Odontologia Hospitalar. Na Escola de Pós é docente do curso: Odontologia Hospitalar."
O curso pode ser cancelado?,"Sim! Você pode cancelar o curso, desde que esteja de acordo com os requisitos previstos no contrato do curso.
"
O que devo fazer em caso de ausência em alguma disciplina?,"Informe a coordenação do curso ou o professor responsável, justificando o motivo da ausência."
O que é a Escola de Pós da UFG?,"A Escola de Pós da Universidade Federal de Goiás (UFG) é uma iniciativa que visa fortalecer e unificar a oferta de cursos de pós-graduação lato sensu, como especializações, MBAs e residências médicas e multiprofissionais. Seu objetivo é produzir e socializar conhecimentos, formando profissionais capazes de promover a transformação e o desenvolvimento da sociedade. Possui 120 cursos, entre especializações, MBAs e capacitações. Possui, também, 400.000 discentes formados ao longo da história e 64 anos de história mudando a vida de milhares de pessoas."
Os cursos da Escola de Pós UFG são apenas presenciais?,"Não! Na Escola de Pós UFG você pode realizar cursos nas modalidades presencial, hibrida ou EAD."
Os cursos da Escola de Pós UFG são gratuítos?,A Escola de Pós UFG possui alguns cursos gratuitos. Para mais informações você pode conferir a página de cada curso.
Portador de diploma de curso tecnólogo pode fazer MBA ou pós-graduação?,"Sim, os diplomas de cursos superiores de tecnologia são aceitos para MBA e pós-graduação."
PÓS-GRADUAÇÃO EM​ Controladoria e Finanças,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais que atuam na área de gestão, controladoria, finanças, custos e administração de empresas, bem como profissionais que atuam na área da docência superior de instituições de ensino públicas e privadas. O curso de Controladoria e Finanças visa capacitar os profissionais dos conhecimentos necessários para desenvolverem, dentro de suas limitações profissionais, o que lhes couber no âmbito operacional em que atuam. Assim, conhecer técnicas para uma boa gestão empresarial é crucial nestas transformações, demandando que o gestor tenha competências específicas para se adequarem a esta realidade. O papel da controladoria ganha expressiva importância por induzir as adaptações necessárias das organizações, através da confecção e análise das informações, contábeis ou não, seja construindo modelos operacionais, ou seja, influenciando o planejamento estratégico, o Controller tem um papel importante na gestão empresarial. Objetivos Específicos: a) Propiciar uma formação conceitual e prática ao profissional nas áreas de Controladoria e Finanças, fornecendo condições para alavancar sua carreira; b) Desenvolver massa crítica às atribuições da controladoria e finanças, suas especificidades, sua importância, seu gerenciamento, etc; c) Instrumentalizá-lo em conceitos e técnicas nessas áreas de conhecimento, que lhe permitirão aplicar em situações práticas de seu dia a dia. Horários: Quinzenalmente às sextas-feiras (18h30 às 22h30) e sábados (08h00 às 12h30 e eventualmente das 14h00min às 18h30min). Local: Prédio da Faculdade de Administração, Ciências Contábeis e Econômicas (FACE), Centros de aula da UFG nos Campus Samambaia e/ou Colemar Natal e Silva. Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas em definição. Taxa de matrícula de R$ 549,99; Valor da mensalidade: R$ 549,99. Para mais informações: https://escoladepos.ufg.br/cursos/mba-em-controladoria-e-financas/"
PÓS-GRADUAÇÃO EM​ Direito Constitucional e Teoria da Constituição,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. O curso de Direito Constitucional e Teoria da Constituição se identifica a partir de uma perspectiva diversificada e interdisciplinar para pensar o Direito Constitucional. A partir do diálogo estabelecido com diversas teorias contemporâneas fundadas, principalmente, em teorias do reconhecimento em sentido amplo, busca-se pensar os limites constitucionais descentralizando-se do debate meramente institucionalizado. A metodologia a ser empregada consistirá em aulas expositivas dialogadas, seguidas de debates sobre os temas apresentados; ou se seminários, com exposição oral pelos alunos, seguindo-se de debates; ou de trabalhos de pesquisa individual ou em grupo com orientação pelo professor, com posterior apresentação oral e debates pelos alunos. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 04/10/2024. Valor da mensalidade: R$ 390,00. Para mais informações: https://escoladepos.ufg.br/cursos/direito-constitucional-e-teoria-da-constituicao/"
PÓS-GRADUAÇÃO EM​ Enfrentamento à Violência Contra Mulheres e Meninas,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a capacitação do Sistema Único de Segurança Pública (SUSP) que atuam no atendimento a vítimas a violência de violência doméstica e em emergências nos centros de operações Militares e Guardas Municipais. O curso de Enfrentamento à Violência Contra Mulheres e Meninas promove a capacitação de profissionais do Sistema Único de Segurança Pública (SUSP), que atuam em unidades que prestam serviços na área de atendimento às mulheres vítimas de violência doméstica e familiar, bem como os profissionais do SUSP que atuem no atendimento emergencial em centros de operações das Polícias Militares e Guardas Municipais. Além disso, tem como objetivo a prestação de serviços educacionais de especialização lato sensu em Enfrentamento à Violência Doméstica e Familiar para os profissionais do SUSP. Carga horária: 360 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas em 13/02/2024. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-001/
"
PÓS-GRADUAÇÃO EM​ Farmácia Oncológica,"O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais formados no curso de Farmácia. O curso de Farmácia Oncológica tem como objetivo qualificar farmacêuticos para que, ao final do curso, estejam aptos a aplicar toda a base teórica e metodológica necessária para atuar na área de farmácia oncológica. Os encontros presenciais ocorrem aos finais de semana (sextas e sábados), em média uma vez por mês, facilitando a conciliação com a rotina profissional. O diferencial do curso está na ênfase nas aulas práticas, que compõem quase 50% da carga horária total. As atividades práticas são realizadas nos laboratórios da Faculdade de Farmácia e no Hospital das Clínicas da UFG, garantindo ao estudante uma experiência próxima da realidade profissional. Além disso, há oportunidades de participação em projetos de pesquisa, extensão e estágios supervisionados, que complementam a formação acadêmica. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas em Março de 2025. Valor da mensalidade: R$ 580,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-farmacia-oncologica/"
Posso aproveitar disciplinas feitas na graduação?,"Sim! Você pode aproveitar as disciplinas de cursos lato sensu, desde que realizadas no máximo 2 anos antes. Para mais informações confira o Regulamento Geral de Pós-graduação Lato Sensu da UFG (Resolução CEPEC N° 1630/2019: https://files.cercomp.ufg.br/weby/up/1333/o/Resolucao_CEPEC_2019_1630_R_.pdf )"
Posso iniciar a pós-graduação cursando o último semestre da faculdade?,"Sim! Você pode apresentar o comprovante de conclusão do curso superior para a homologação da inscrição no edital de processo seletivo, no entanto é necessário apresentar o diploma de curso superior para efetivar a matrícula."
Posso mudar de curso antes de começar as aulas?,"Sim! Você pode mudar curso, basta ingressar no processo seletivo do novo curso e seguir as regras do edital do mesmo.
"
Preciso ser graduado em uma área específica para fazer a pós-graduação?,Consulte o edital e a página do curso para verificar quais cursos superiores são aceitos como pré-requisito.
Quais são as formas e condições de pagamento para a realização dos cursos da Escola de Pós UFG?,Você consegue realizar o pagamento dos cursos via boleto bancário ou Pix.
Quais são os cursos disponíveis na Escola de Pós?,"ESPECIALIZAÇÃO EM Construção Civil; PÓS-GRADUAÇÃO EM​ Controladoria e Finanças; PÓS-GRADUAÇÃO EM​ Direito Constitucional e Teoria da Constituição; ESPECIALIZAÇÃO EM​ Direito e Processo do Trabalho para Advogados; ESPECIALIZAÇÃO EM Direito e Processo Eleitoral; ESPECIALIZAÇÃO EM Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas; ESPECIALIZAÇÃO EM​ Enfermagem em Unidade de Terapia Intensiva em Neonatologia; PÓS-GRADUAÇÃO EM​ Enfrentamento à Violência Contra Mulheres e Meninas; ESPECIALIZAÇÃO EM Ensino de Línguas Adicionais, de Acolhimento e de Herança; ESPECIALIZAÇÃO EM​ Estudos Literários e Ensino de Literatura; PÓS-GRADUAÇÃO EM​ Farmácia Oncológica; ESPECIALIZAÇÃO EM​ Finanças e Gestão Estratégica de Negócios; ESPECIALIZAÇÃO EM​ Fisiologia Humana Aplicada às Ciências da Saúde; ESPECIALIZAÇÃO EM Gestão e Qualidade Ambiental; ESPECIALIZAÇÃO EM​ Gestão Pública; ESPECIALIZAÇÃO EM Letramento Informacional: Educação para Informação; ESPECIALIZAÇÃO EM Linguística Aplicada: Ensino-Aprendizagem de Línguas Adicionais; MBA EM​ Marketing Estratégico; ESPECIALIZAÇÃO EM Moda e Inovação; ESPECIALIZAÇÃO EM​ Odontologia Hospitalar; ESPECIALIZAÇÃO EM Perícia, Auditoria e Licenciamento Ambiental; MBA em Planejamento Tributário e Compliance Fiscal; ESPECIALIZAÇÃO EM Políticas Públicas; ESPECIALIZAÇÃO EM Práticas Pedagógicas na Educação Básica; ESPECIALIZAÇÃO EM​ Psicologia dos Processos Educativos; RESIDÊNCIA EM​ Tecnologia da Informação; ESPECIALIZAÇÃO EM Vigilância Epidemiológica; ESPECIALIZAÇÃO EM Vitivinicultura, Serviços e Produtos."
Quais são os professores da Escola de Pós?,Ana Carolina Figueiredo Modesto; José Humberto Rodrigues dos Anjos; Breno Delfino Amaral Freitas; Virgínia Farias Alves; Karla Emmanuela Ribeiro Hora; Ane Trento; Wagner Bandeira; Thaíla Corrêa Castral; Raquel Santiago; Vanessa Gisele Pasqualotto Severino; Ilirio José Rech; Ricardo Limongi; Regis Puppim; Márcio de Carvalho Pires; Luiz Carlos da Cunha; Elton Clementino da Silva; Alverne Passos Barbosa; Marina Carmello Cunha; Aysha Jussara Ivonilde Carrim; Danielle Guimarães A. Diniz; Derblai Casaroli; Roberto José de Freitas; Diogo Pedrosa Correa da Silva; Larissa Matuda Macedo; Eric de Souza Gil; Carolina Chaves Soares; Jacson Rodrigues Barbosa; Mércia Pandolfo Provin; Rodrigo Mello Gomes; Camila Alves de Melo; Diego Basile Colugnati; Daniel Alves Rosa; Claudio Andre Barbosa de Lira; Carlos Henrique Xavier; Carlos Henrique de Castro; Manoel Francisco Biancardi; Gustavo Rodrigues Pedrino; Aline Priscila Pansani; Nádia do Lago Costa; Francine do Couto Lima Moreira.
Qual a diferença entre pós-graduação lato sensu e stricto sensu?,"A Pós-graduação lato sensu é voltada para a especialização e qualificação profissional, com cursos mais curtos, como especializações e MBAs, que oferecem certificados. Já a pós-graduação stricto sensu é focada em pesquisa científica e formação acadêmica, com cursos mais longos, como mestrado e doutorado, que oferecem diplomas de mestre ou doutor."
Qual a documentação necessária para a realização da matrícula?,Os documentos necessários são: – Documento de identificação (RG ou CNH); – Diploma de curso superior; – Contrato ou termo de compromisso do curso assinados.
Qual a frequência e nota mínima em cada disciplina?,"A frequência mínima e a nota mínima em cada disciplina podem variar conforme as normas específicas de cada curso. Geralmente, a frequência mínima exigida é de 75% das aulas, e a nota mínima para aprovação é 7,0 (sete). É importante verificar o regulamento acadêmico do curso para conhecer os requisitos exatos.
"
Qual a periodicidade das aulas?,"Cada curso irá apresentar uma periodicidade diferente, podendo ser semanal, quinzenal ou mensal, você pode conferir essa informação na página do curso."
Qual é a diferença entre pós-graduação lato sensu e stricto sensu?,"A lato sensu foca em especialização profissional (cursos curtos com certificado), enquanto a stricto sensu é voltada para pesquisa e formação acadêmica (mestrado/doutorado com diploma)."
Qual o procedimento para a realização da inscrição e matrícula nos cursos?,"Em primeiro lugar, leia o edital do curso desejado e verifique se você atende aos critérios do processo seletivo. Participe das etapas de seleção, que podem incluir prova, entrevista ou análise de currículo. Em seguida, siga às orientações do edital em relação à solicitação de matrícula, que podem incluir o pagamento da taxa de matrícula e assinatura de contrato ou termo de compromisso."
Qual o procedimento para requerer o Certificado de Conclusão?,"Contate a coordenação do curso por e-mail para solicitar o certificado, desde que tenha atendido os requisitos do regulamento (frequência mínima, nota mínima e aprovação no TCC)."
Raquel Santiago,"Graduada em Nutrição pela Universidade Federal de Goiás (1994) e em Gastronomia pela Universidade Anhembi Morumbi (2015). Mestre em Ciências dos Alimentos pela Universidade de São Paulo (1998). Doutora em Saúde Pública pela Universidade de São Paulo (2002). Pós-Doutora em Ciências dos Alimentos pela Universidade de Londrina. Atualmente é professora Associada nível IV da Faculdade de Nutrição da Universidade Federal de Goiás (FANUT- UFG). Coordena projetos em Alimentos, Biodiversidade, e Saúde Humana e o Centro de Ciência Culinárias da FANUT – UFG. Atualmente coordena o Sustentarea UFG. Membro do Grupo de Estudos em Saúde Planetária (IEA/USP), do LatinFoods e da Planetary Health Alliance. Coordenadora da Hub Latino-americano de Saúde Planetária. Tem experiência na áreas: Dietética, Ciência Culinária; Ciência dos Alimentos; Desenvolvimento de produtos; Biodiversidade Brasileira; Uso de subprodutos para Alimentação e Nutrição. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Regis Puppim,"Bacharel em Design de Moda (UFG 2010) Especialista em Design Estratégico/Fashion Design (Istituto Europeo di Design 2012). Mestre em Arte e Cultura Visuap (UFG 2014) Doutor em Engenharia Têxtil (UMinho/Portugal 2022). Professor do quadro efetivo do IFG – Campus Aparecida de Goiânia. Professor convidado em Pós-graduações na área de Moda (UNIDERP-ANHANGUERA/ Estácio de Sá). Pesquisador, Consultor, Palestrante e Autor nas áreas de Moda, Design, Sustentabilidade, Têxtil e Educação. Membro titular do Conselho Nacional de Políticas para a Cultura (CNPC/MinC) setorial de Moda (2015-2018). Prêmio Menção Honrosa no International Design Awards 2019 (IDA 2019) na categoria Materials and Textiles. Na Escola de Pós é docente do curso: Moda e Inovação."
RESIDÊNCIA EM​ Tecnologia da Informação,"O curso pertence à área de Ciências Exatas e da Terra. O curso destina-se a profissionais e gestores(as) da tecnologia da informação e comunicação, com diploma de graduação e interessados(as) em adquirir conhecimentos para promover a inovação nos eixos de processos e gestão de TI, análise e construção de software, e análise e ciência de dados. O programa de Residência em Tecnologia da Informação tem como objetivo promover a inovação nos eixos de processos e gestão de TI, análise e construção de software, e análise e ciência de dados. A partir disso, garantindo uma equipe preparada para enfrentar os desafios tecnológicos relacionados ao contexto do Poder Judiciário na atualidade, a partir de uma base sólida em três áreas-chave: Processos & Gestão de TI, Análise & Construção de Software e Análise & Ciência de Dados. Duração do curso: 12 meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/01/2025. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/residencia-em-tecnologia-da-informacao-inf-tjgo/"
Ricardo Limongi,"Professor de Marketing e Inteligência Artificial na UFG. Doutor em Administração na linha de Estratégias de Marketing pela FGV/SP, com estágio doutoral na Cornell University. Pós-doutorado em Economia Comportamental aplicada ao Marketing pela UnB e Pós-doutorado em Machine Learning aplicado ao Marketing pela UFRGS. Professor no Programa de Pós-Graduação em Administração na UFG e UFU. Professor Visitante na Universidade Santiago do Chile (USACH). Editor Chefe da Brazilian Administration Review (BAR). Na Escola de Pós é docente do curso: Marketing Estratégico; Vitivinicultura, Serviços e Produtos."
Roberto José de Freitas,"Graduação em Agronomia pela Universidade Federal de Goiás (1985). Especialização em fruticultura pela Universidade Federal de Lavras (1998), e em Solos e Meio ambiente pela Universidade federal de Lavras (1999). Mestrado em Agronomia pela Universidade Federal de Goiás (2006). Doutorado pela Universidade Federal de Goiás (2020). Atualmente é professor titular da Universidade Estadual de Goiás, consultor nas culturas de soja, milho, sorgo, girassol, pastagens e uva na Região Sudeste de Goiás. Desenvolve pesquisas na área de fertilidade de solo, tratos culturais e sistemas de cultivo, com ênfase em sistemas de Integração Lavoura-Pecuária-Florestas e viticultura tropical. Consultor em integração Lavoura-Pecuária em Goiás e no estado do Tocantins. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Rodrigo Mello Gomes,"Graduação em Educação Física pela Universidade Estadual de Maringá (2009). Mestrado (2011) e Doutorado (2014) em Ciências Biológicas (Área de concentração biologia celular e molecular) pela Universidade Estadual de Maringá. Pós-Doutorado em Fisiologia Endócrina e Metabolismo pela Universidade Estadual de Maringá (2011). Professor Adjunto do Departamento de Ciências Fisiológicas da Universidade Federal de Goiás. Possui experiência nas áreas de Fisiologia e Bioquímica. Atualmente é coordenador de projetos nos seguintes assuntos: mecanismos fisiopatológicos do diabetes e da obesidade, programação metabólica durante a gestação, lactação e puberdade e uso de biomoléculas no tratamento do diabetes e suas complicações. Sócio fundador e tesoureiro da Sociedade “Developmental Origins of Health and Disease” DOHaD Brasil. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
"Se houver necessidade, terei a opção de trancamento da matrícula?","A Escola de Pós UFG não possui opção para trancamento de matrícula.
"
"Tenho dúvidas sobre a minha matrícula, com quem devo falar?","Você pode enviar um e-mail para a coordenação do curso. Esse contato fica disponível na página do curso.
"
Tenho dúvidas sobre minha matrícula. Com quem devo falar?,Entre em contato com a coordenação do curso por e-mail. O endereço está disponível na página do curso.
Thaíla Corrêa Castral,"Bacharel em Enfermagem pela Escola de Enfermagem de Ribeirão Preto/USP (EERP/ USP) (2000-2004).Mestre em Enfermagem em Saúde Pública pela EERP/USP (2005-2007), sendo Bolsista FAPESP (processo n.05/52694-0). Doutora em Ciências pela EERP/USP (2007-2011), sendo Bolsista FAPESP (processo n.2007/05051-1). Doutorado sanduíche na University of British Columbia School of Nursing (2008-2009). Atualmente é Professora Associada da Faculdade de Enfermagem da Universidade Federal de Goiás (FEN/UFG), atuando na graduação e pós-graduação. Tem experiência profissional em Enfermagem Neonatal. Possui experiência em métodos experimentais, revisão sistemática, estudos de implementação. Trabalhou com mensuração de variáveis fisiológicas (frequência cardíaca e cortisol salivar) e codificação microanalítica comportamental. Foi trainee (2006-2011) do Pain in Child Health (PICH), programa de treinamento estratégico em dor pediátrica financiado pelo Canadian Institute of Health Research. Participa do Grupo de Pesquisa de Enfermagem no Cuidado à Criança e Adolescente (GPECCA) da EERP/USP, e do Grupo de Estudos em Saúde da Mulher, da Criança e do Adolescente (GESMAC) da FEN/UFG. Membro do Grupo de Interesse em Ciência de Disseminação e Implementação de Países de Língua Portuguesa. Temáticas de pesquisa: Manejo da dor neonatal; Amamentação e método canguru; Tradução do conhecimento; Ciência da implementação. Na Escola de Pós é docente do curso: Enfermagem em Unidade de Terapia Intensiva em Neonatologia."
Vanessa Gisele Pasqualotto Severino,"Graduada em Química (Bacharelado com Atribuições Tecnológicas) pela Universidade Federal de São Carlos. Mestre e doutora em Química Orgânica (Química de Produtos Naturais) pela UFSCAR. A quase 20 anos desenvolve pesquisa com plantas medicinais, na busca por compostos com potencial biológico. Atua como orientadora de estudantes de extensão, Iniciação Científica, mestrado e doutorado no Programa de Pós-Graduação em Química da UFG. Orientadora de estudantes de extensão, Iniciação Científica, mestrado e doutorado no Programa de Pós-Graduação em Química da mesma instituição. Supervisiona uma pesquisadora da EMATER em estágio pós-doutorado. Associada efetiva da SBQ desde 2005. Tesoureira (gestão 2020-2022) e diretora (gestão 2022-2024) da Divisão de Produtos Naturais da Sociedade Brasileira de Química. Participou ativamente do Núcleo Mulheres da SBQ no período de 2020 a 2024, integrando a comissão de eventos. Associada à Sociedade Brasileira para o Progresso da Ciência (SBPC) e exerce a função de Secretária desta instituição, representando a Regional Goiás. É apaixonada por projetos de pesquisa que contemplem a extensão universitária, colaborando com diversas comunidades tradicionais presentes no Cerrado com foco na promoção da bioeconomia e na utilização sustentável dos recursos naturais. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Virgínia Farias Alves,"Graduação em Farmácia pela Universidade Federal de Goiás (1996). Habilitação em Bioquímica pela Universidade Federal de Goiás (1997). Especialização em Microbiologia e em Citologia Clínica pela Universidade Federal de Goiás. Mestrado em Ciências Farmacêuticas pela Universidade de São Paulo (2003). Doutorado em Biociências Aplicadas à Farmácia pela Universidade de Ribeirão Preto (USP) (2005). Atua como docente permanente nos programas de pós graduação (PPG) em Assistência e Atenção à Saúde (PPGAAS) e Inovação Farmacêutica (PPGIF). É colaboradora em Ciências Farmacêuticas (PPGCF). Suas linhas de pesquisa são: Segurança dos alimentos e Ecologia microbiana em alimentos, com ênfase na busca de microrganismos com propriedades biotecnológicas pra aplicação em saúde humana e animal. Não atua em nenhum curso da Escola de Pós da UFG."
Wagner Bandeira,"Graduação em Desenho Industrial pela Esdi/UERJ (2000). Mestrado em Design pela PUC/RJ (2006). Doutorado em Arte e Cultura Visual pela UFG (2017). Sua sólida formação acadêmica reflete sua dedicação ao ensino e à pesquisa. Atualmente, Wagner Bandeira é professor adjunto no Curso de Design Gráfico da Universidade Federal de Goiás, onde contribui para a formação de novos talentos. Diretor do Centro Integrado de Aprendizagem em Rede (CIAR/UFG), um núcleo estratégico que promove a inovação no uso de tecnologias educacionais. Integra a equipe do Media Lab/UFG, laboratório reconhecido pela pesquisa em mídias interativas. Professor e pesquisador do Programa de Pós-graduação em Performances Culturais, onde amplia sua atuação para áreas que conectam design, arte e cultura. Sua pesquisa se concentra no campo do Desenho Industrial, com ênfase em Programação Visual onde explora temas como: Design de interface e experiência do usuário (UX); Design editorial; Tipografia; Identidade visual; Design acessível. Se destaca por desenvolver projetos voltados para educação a distância (EaD) e semiótica, promovendo soluções inovadoras e inclusivas. Com mais de duas décadas de experiência, Wagner Bandeira é referência em design, combinando teoria e prática em projetos que impactam tanto o meio acadêmico quanto o mercado profissional. Sua trajetória inspira estudantes e colegas, consolidando seu papel como um dos principais nomes do design contemporâneo no Brasil. Na Escola de Pós é docente do curso: Moda e Inovação."
PÓS-GRADUAÇÃO EM​ Atendimento de Crianças e Adolescentes Vítimas ou Testemunhas de Violência,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais estaduais e municipais do Sistema Único de Segurança Pública (SUSP) e que atuam no atendimento de crianças vítimas ou testemunhas de violência. O curso de Atendimento de Crianças e Adolescentes Vítimas ou Testemunhas de Violência visa capacitar os profissionais do SUSP, que atuam em unidades que prestam serviço na área de atendimento de crianças e adolescentes vítimas ou testemunhas de violência, bem como os profissionais do Susp que atuem no atendimento emergencial em centros de operações das Polícias Militares e Guardas Municipais. Além disso, também tem como objetivo a prestação de serviços educacionais de Curso de Especialização em Atendimento de Crianças e Adolescentes Vítimas ou Testemunhas de Violência, para Profissionais do SUSP. Carga horária: 360 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Inicio das Aulas em definição. Para mais informações: ricardolenard@hotmail.com"
PÓS-GRADUAÇÃO EM​ Citologia Clínica,"O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais Farmacêuticos-Bioquímicos, Biomédicos, Médicos e áreas afins habilitados. O curso de Citologia Clínica tem como objetivo promover o aprimoramento e/ou a qualificação no contexto das Citologia Clínica dos profissionais Farmacêuticos-Bioquímicos, Biomédicos, Médicos e áreas afins habilitados para o exercício da Citologia Clínica, visando melhorias na promoção, prevenção e atenção à saúde. Carga horária: 600 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: luizdca@ufg.br"
PÓS-GRADUAÇÃO EM​ Data Science e Estatística Aplicada,"O curso pertence à área de Ciências da Saúde e Ciências Exatas e da Terra. O curso destina-se a profissionais das mais diversas áreas do conhecimento (Saúde, Estatística, Tecnologia da Informação, Ciência de Dados, entre outros), como também para portadores de diploma de nível superior, que atuem em serviços e órgãos governamentais da saúde ou que queiram desenvolver habilidades técnicas e aplicadas em Data Science e Estatística Aplicada em áreas da saúde. O curso de Data Science e Estatística Aplicada visa desenvolver competências profissionais e sólida formação teórica, prática e generalista em Data Science, análise de dados e estatística aplicada na área da saúde, capaz de proporcionar aos participantes atuação na gestão de dados em equipes multidisciplinares de saúde, de maneira crítica, reflexiva, ética e com rigor científico. Carga horária: 380 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das Aulas em definição."
PÓS-GRADUAÇÃO EM​ Dentística,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em Odontologia e que já tenham realizado Pós-Graduação em Cirurgia Odontológica. O curso de Dentística, em uma visão abrangente e humanística, tem como objetivo o estudo e a aplicação de procedimentos educativos, preventivos e terapêuticos, para devolver ao dente sua integridade fisiológica, e assim contribuir de forma integrada com as demais especialidades para o restabelecimento e a manutenção da saúde do sistema estomatognático. Objetivos Específicos: → Capacitar os profissionais com conhecimentos teóricos e práticos necessários para a realização de procedimentos e diagnóstico, prevenção, promoção de saúde. → Realizar tratamentos restauradores diretos e protéticos reabilitadores relacionados com a especialidade. → Realizar procedimentos educativos e preventivos, informando e educando o paciente e a comunidade sobre os conhecimentos indispensáveis à manutenção da saúde, como também procedimentos conservadores da vitalidade pulpar. → Promover o restabelecimento das relações dinâmicas e funcionais dos dentes em oclusão. → Realizar a manutenção e controle das restaurações, realizar uma integração entre os pacientes atendidos no curso de graduação em Odontologia da FO-UFG. → Viabilizar o acesso de discentes do curso de graduação em Odontologia, possibilitando o acompanhamento de casos de maior complexidade, assim como o acesso de discentes do programa de pós-graduação “Stricto Sensu” e servir de campo de prática para atividades de pesquisa e extensão. Carga horária: 768 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6062; terraesilvaglaucia@gmail.com"
PÓS-GRADUAÇÃO EM​ Docência e Gestão Educacional em Saúde,"O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais graduados em cursos da Área da Saúde, bem como para aqueles que pretendem atuar como docentes ou gestores nesta área. O curso Docência e Gestão Educacional em Saúde pretende capacitar profissionais da área da saúde para atuarem como docentes e gestores educacionais, fornecendo conhecimentos teóricos e práticos necessários para promover uma formação de qualidade nos diferentes níveis de ensino superior, atendendo às demandas específicas do contexto goiano e contribuindo para o avanço sustentável da educação em saúde na região. Objetivos Específicos: → Desenvolver Competências Docentes. → Aprimorar Conhecimentos em Gestão Educacional. → Integrar Tecnologia e Metodologias Inovadoras. → Fomentar a Interdisciplinaridade na Formação. → Promover a Avaliação Contínua e Melhoria do Ensino. → Compreender as Especificidades do Contexto Goiano. → Estimular a Produção Científica em Educação em Saúde. Carga horária: 420 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: annesulyvan@ufg.br ; https://farmacia.ufg.br/"
ESPECIALIZAÇÃO EM Enfermagem em Centro Cirúrgico,"O curso pertence à área de Ciências da Saúde. O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais formados em Enfermagem. O curso de Especialização em Enfermagem em Centro Cirúrgico pretende promover o desenvolvimento de competências e habilidades profissionais que possibilitem aos enfermeiros exercer a profissão com excelência nas áreas de Centro Cirúrgico, Sala de Recuperação Pós-anestésica (SRPA) e Clínica Cirúrgica. Visa promover o cuidado individual e coletivo na gestão dos recursos humanos e materiais, no planejamento e organização do trabalho, na melhoria da saúde, segurança do paciente e qualidade de vida. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das Aulas em definição. Para mais informações: (62) 3209-6180 ; cristianacosta@ufg.br "
